jockey_name,track_code,wins,win_pct,starts,surface,source_page,year
"Jimenez, David",ALL,0,0.0,2,,2081,2025
"Hammer Hansen, Thore",ALL,1,50.0,2,,2081,2025
"Jimenez, Kevin J.",ALL,2,2.9,70,,2081,2025
"Harkie, Heman K.",ALL,31,8.5,364,,2081,2025
"Jimenez, Manny",ALL,1,33.3,3,,2081,2025
"Harr, Kelsi",ALL,25,9.3,269,,2081,2025
"Jimenez, Rafael S.",ALL,1,7.7,13,,2081,2025
"Hartsmar, Cornelia",ALL,0,0.0,14,,2081,2025
"Jimenez, Samuel",ALL,2,7.4,27,,2081,2025
"Harvey, Barrington",ALL,2,5.6,36,,2081,2025
"Jimenez, Santiago",ALL,0,0.0,1,,2081,2025
"Harvey, Bebeto Deneiko",ALL,4,10.5,38,,2081,2025
"Jimenez Aburto, Luis Manuel",ALL,3,3.5,86,,2081,2025
"Hazelwood, Teshawn",ALL,0,0.0,11,,2081,2025
"Johnson, Devon",ALL,0,0.0,5,,2081,2025
"Hazlewood, Yedsit",ALL,137,23.3,588,,2081,2025
"Johnson, Kirk",ALL,22,10.0,221,,2081,2025
"Hebert, Lindsey",ALL,6,7.4,81,,2081,2025
"Jones, Slade",ALL,11,7.1,155,,2081,2025
"Hebert, Tracy J.",ALL,22,13.3,166,,2081,2025
"Jordan, Corey",ALL,0,0.0,16,,2081,2025
"Hendriks, Parker",ALL,0,0.0,4,,2081,2025
"Jordan, Kylee R.",ALL,28,12.8,218,,2081,2025
"Henry, Wesley",ALL,4,6.5,62,,2081,2025
"Jorge, Julio",ALL,6,5.3,114,,2081,2025
"Henry, Jr., Patrick",ALL,0,0.0,1,,2081,2025
"Journet, Jarred",ALL,22,14.1,156,,2081,2025
"Herman, Noel",ALL,2,5.6,36,,2081,2025
"Juarez, Brayan",ALL,0,0.0,7,,2081,2025
"Hernandez, Andy",ALL,77,18.4,418,,2081,2025
"Juarez, Nik",ALL,34,11.6,294,,2081,2025
"Hernandez, Carlos J.",ALL,4,7.3,55,,2081,2025
"Juarez, Jr., Alfredo J.",ALL,93,22.4,415,,2081,2025
"Hernandez, Colby J.",ALL,64,13.9,460,,2081,2025
"Jude, John",ALL,0,0.0,14,,2081,2025
"Hernandez, Efrain",ALL,11,9.6,114,,2081,2025
"Jurado, Eddie",ALL,11,6.4,172,,2081,2025
"Hernandez, Harry",ALL,115,20.8,553,,2081,2025
"Karamanos, Horacio",ALL,41,10.5,390,,2081,2025
"Hernandez, Israel",ALL,55,14.3,385,,2081,2025
"Keane, Colin T.",ALL,0,0.0,3,,2081,2025
"Hernandez, Jairo H.",ALL,6,7.2,83,,2081,2025
"Keil, Caitlin",ALL,0,0.0,3,,2081,2025
"Hernandez, Jann N.",ALL,39,17.6,221,,2081,2025
"Keiser, Chelsey",ALL,21,13.6,154,,2081,2025
"Hernandez, Javier Antonio",ALL,7,7.1,98,,2081,2025
"Kellenberger, Kody",ALL,17,13.0,131,,2081,2025
"Hernandez, Jorge F.",ALL,19,15.4,123,,2081,2025
"Kennedy, Jack W.",ALL,4,100.0,4,,2081,2025
"Hernandez, Juan J.",ALL,183,25.3,722,,2081,2025
"Kerr, Cheyenne",ALL,16,12.7,126,,2081,2025
"Hernandez, Julio A.",ALL,142,19.5,728,,2081,2025
"Khelawan, Kerron",ALL,31,20.7,150,,2081,2025
"Hernandez, Luciano",ALL,4,7.4,54,,2081,2025
"Kimes, Curtis",ALL,33,18.1,182,,2081,2025
"Hernandez, Luis A.",ALL,8,6.9,116,,2081,2025
"Kimura, Kazushi",ALL,89,12.4,715,,2081,2025
"Hernandez, Luis O.",ALL,0,0.0,1,,2081,2025
"Kingsley, Taylor",ALL,4,26.7,15,,2081,2025
"Knights, Rachaad",ALL,24,15.0,160,,2082,2025
"Magnon, Devin H.",ALL,24,10.2,236,,2082,2025
"Kocakaya, Gokhan",ALL,5,9.8,51,,2082,2025
"Mailhot, Pierre",ALL,3,3.8,80,,2082,2025
"Korrell, Virginia",ALL,5,12.5,40,,2082,2025
"Maldonado, Christian",ALL,51,12.2,419,,2082,2025
"Krigger, Kevin",ALL,111,20.0,555,,2082,2025
"Maldonado, Edwin A.",ALL,47,13.8,340,,2082,2025
"Laboy, Chrisjoel",ALL,0,0.0,2,,2082,2025
"Maldonado, Gabriel",ALL,36,11.0,327,,2082,2025
"Lafaye, Camille",ALL,0,0.0,2,,2082,2025
"Malvaez, Mauricio",ALL,13,10.2,128,,2082,2025
"Lagunes, Gabriel",ALL,25,10.2,246,,2082,2025
"Mamdeen, Christopher Roy",ALL,25,17.9,140,,2082,2025
"Lahoe, Ruja",ALL,3,13.0,23,,2082,2025
"Manrrique, Freddy Jose",ALL,23,14.0,164,,2082,2025
"Landeros, Chris",ALL,17,8.6,198,,2082,2025
"Maragh, Christian",ALL,19,7.5,255,,2082,2025
"Lanerie, Corey J.",ALL,52,12.0,432,,2082,2025
"Maragh, Rajiv",ALL,63,11.8,535,,2082,2025
"Laprida, Jeremy",ALL,5,9.1,55,,2082,2025
"Maragh, Romero Ramsay",ALL,32,6.1,528,,2082,2025
"Lara, Abel",ALL,0,0.0,4,,2082,2025
"Lara, Ezequiel",ALL,12,12.6,95,,2082,2025
"Marquez, Charlie",ALL,9,7.5,120,,2082,2025
"Lara, Gabriel Angel Gomez",ALL,0,0.0,2,,2082,2025
"Marquez, Guadalupe A.",ALL,0,0.0,7,,2082,2025
"Lara, Irving",ALL,0,0.0,2,,2082,2025
"Marquez, Juan D.",ALL,0,0.0,1,,2082,2025
"Lara, Victor",ALL,4,3.0,134,,2082,2025
"Marquez, Larry",ALL,1,2.6,39,,2082,2025
"Larios, A.",ALL,0,0.0,2,,2082,2025
"Marrero, Carlos",ALL,1,3.4,29,,2082,2025
"Larios, Antonio",ALL,2,5.7,35,,2082,2025
"Marshall, Charlie",ALL,2,33.3,6,,2082,2025
"Larrosa, Gustavo",ALL,22,9.4,233,,2082,2025
