Date,Track,Race,Field,Top Pick,Bet Type,Selection,Units,Composite,GEM,Confidence,Pace,Win%,Place%,Value,Result,Notes,actual_result,actual_pl,win_bet_pl,place_bet_pl,show_bet_pl,combined_straight_pl
2026-04-12,GPX,3,7,SPIRIT OF JAMAICA,PLACE,SPIRIT OF JAMAICA,0.5,15,NO,MEDIUM,SLOW,32.6%,55.6%,STRONG_EV,LOSS,STRESS_TEST ARM2026 GPX R3 | SCORE=15 | CONF=MEDIUM | PACE=SLOW | GEM=NO,LOSS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,GPX,3,7,SPIRIT OF JAMAICA,SHOW,SPIRIT OF JAMAICA,0.5,15,NO,MEDIUM,SLOW,32.6%,55.6%,STRONG_EV,LOSS,STRESS_TEST ARM2026 GPX R3 | SCORE=15 | CONF=MEDIUM | PACE=SLOW | GEM=NO,LOSS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,GPX,3,7,SPIRIT OF JAMAICA,EXACTA_BOX,SPIRIT OF JAMAICA / RIYAH AL NIL,0.25,15,NO,MEDIUM,SLOW,32.6%,55.6%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R3 | SCORE=15 | CONF=MEDIUM | PACE=SLOW | GEM=NO,MISS,-0.25,-1.0,-1.0,-1.0,-3.0
2026-04-12,GPX,3,7,SPIRIT OF JAMAICA,TRIFECTA_BOX,SPIRIT OF JAMAICA / RIYAH AL NIL / JESSICA'S DREAM,0.25,15,NO,MEDIUM,SLOW,32.6%,55.6%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R3 | SCORE=15 | CONF=MEDIUM | PACE=SLOW | GEM=NO,MISS,-0.25,-1.0,-1.0,-1.0,-3.0
2026-04-12,GPX,3,7,SPIRIT OF JAMAICA,SUPERFECTA_BOX,SPIRIT OF JAMAICA / RIYAH AL NIL / JESSICA'S DREAM / GRASS GUZZLER,0.25,15,NO,MEDIUM,SLOW,32.6%,55.6%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R3 | SCORE=15 | CONF=MEDIUM | PACE=SLOW | GEM=NO,MISS,-0.25,-1.0,-1.0,-1.0,-3.0
2026-04-12,GPX,4,8,JUST TAKE NOTES,WIN,JUST TAKE NOTES,1.0,20,YES,HIGH,SLOW,65.0%,84.2%,STRONG_EV,WIN,STRESS_TEST ARM2026 GPX R4 | SCORE=20 | CONF=HIGH | PACE=SLOW | GEM=YES,WIN,14.0,14.0,6.2,3.3,23.5
2026-04-12,GPX,4,8,JUST TAKE NOTES,PLACE,JUST TAKE NOTES,1.0,20,YES,HIGH,SLOW,65.0%,84.2%,STRONG_EV,WIN,STRESS_TEST ARM2026 GPX R4 | SCORE=20 | CONF=HIGH | PACE=SLOW | GEM=YES,WIN,6.2,14.0,6.2,3.3,23.5
2026-04-12,GPX,4,8,JUST TAKE NOTES,SHOW,JUST TAKE NOTES,1.0,20,YES,HIGH,SLOW,65.0%,84.2%,STRONG_EV,WIN,STRESS_TEST ARM2026 GPX R4 | SCORE=20 | CONF=HIGH | PACE=SLOW | GEM=YES,WIN,3.3,14.0,6.2,3.3,23.5
2026-04-12,GPX,4,8,JUST TAKE NOTES,EXACTA_BOX,JUST TAKE NOTES / MY LADY JAMES,0.5,20,YES,HIGH,SLOW,65.0%,84.2%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R4 | SCORE=20 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,14.0,6.2,3.3,23.5
2026-04-12,GPX,4,8,JUST TAKE NOTES,TRIFECTA_BOX,JUST TAKE NOTES / MY LADY JAMES / EVANORA,0.5,20,YES,HIGH,SLOW,65.0%,84.2%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R4 | SCORE=20 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,14.0,6.2,3.3,23.5
